Year,Performance
1960,4
1961,4
1962,4
1963,4
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,6
1985,6
1986,6
1987,6
1988,0
1989,0
1990,0
1991,0
1992,1
1993,1
1994,1
1995,1
1996,4
1997,4
1998,4
1999,4
2000,6
2001,6
2002,6
2003,6
2004,3
2005,3
2006,3
2007,3
2008,1
2009,1
2010,1
2011,1
2012,3
2013,3
2014,3
2015,3
2016,5
2017,5
2018,5
2019,5
2020,2
